case_id,fecha_cierre,materia,tipo_proceso,cuantia_inicial_usd,rol_cliente,instancia_en_t0,jurisdiccion,tipo_contraparte,medida_cautelar_solicitada,prueba_pericial_prevista,resultado_favorable
SYN-0046,2020-11-05 13:42:17.047353764,Laboral,Haberes laborales,44281.03,Demandado,Primera,Rumiñahui,Entidad pública,0.0,1.0,1
SYN-0047,2020-11-12 03:20:33.426183848,Civil,Sumario,37704.69,Actor,Primera,,Persona natural,0.0,1.0,1
SYN-0048,2020-11-18 16:58:49.805013932,Civil,Ejecutivo,15343.98,Actor,Primera,Rumiñahui,Persona jurídica,0.0,1.0,1
SYN-0049,2020-11-25 06:37:06.183844016,Laboral,Despido intempestivo,9369.46,Actor,Primera,Quito Sur,Persona jurídica,0.0,0.0,1
SYN-0050,2020-12-01 20:15:22.562674096,Civil,Ejecutivo,31149.55,Actor,Primera,Rumiñahui,Persona natural,0.0,1.0,1
SYN-0051,2020-12-08 09:53:38.941504180,Civil,Sumario,21722.43,Actor,Primera,Rumiñahui,Persona jurídica,1.0,1.0,1
SYN-0052,2020-12-14 23:31:55.320334264,Civil,Monitorio,4230.18,Actor,Primera,Rumiñahui,Persona jurídica,,0.0,1
SYN-0053,2020-12-21 13:10:11.699164348,Laboral,Despido intempestivo,16817.02,Actor,Primera,Quito Norte,Entidad pública,1.0,0.0,1
SYN-0054,2020-12-28 02:48:28.077994432,Laboral,Haberes laborales,23392.32,Demandado,Primera,Quito Norte,Entidad pública,1.0,0.0,0
SYN-0055,2021-01-03 16:26:44.456824516,Laboral,Haberes laborales,7320.49,Actor,Segunda,Quito Norte,Persona natural,0.0,1.0,0
SYN-0056,2021-01-10 06:05:00.835654600,Laboral,Haberes laborales,,Demandado,Primera,Quito Sur,Persona natural,0.0,0.0,0
SYN-0057,2021-01-16 19:43:17.214484684,Civil,Ejecutivo,4201.95,Actor,Primera,Quito Sur,Persona jurídica,0.0,1.0,1
SYN-0058,2021-01-23 09:21:33.593314768,Civil,Ordinario,68481.1,Actor,Primera,Quito Sur,Persona natural,0.0,1.0,1
SYN-0059,2021-01-29 22:59:49.972144852,Civil,Ejecutivo,62697.51,Actor,Primera,Quito Sur,Persona natural,1.0,1.0,1
SYN-0060,2021-02-05 12:38:06.350974932,Civil,Monitorio,13983.17,Actor,Primera,Rumiñahui,Entidad pública,0.0,,1
SYN-0061,2021-02-12 02:16:22.729805016,Laboral,Haberes laborales,25889.21,Actor,Primera,Mejía,Persona natural,1.0,1.0,1
SYN-0062,2021-02-18 15:54:39.108635100,Civil,Sumario,,Actor,Primera,Quito Norte,Persona natural,0.0,1.0,1
SYN-0063,2021-02-25 05:32:55.487465184,Civil,Ordinario,5663.4,Demandado,Segunda,Rumiñahui,Persona jurídica,0.0,0.0,0
SYN-0064,2021-03-03 19:11:11.866295268,Laboral,Despido intempestivo,13417.94,Actor,Segunda,Quito Sur,Persona natural,0.0,1.0,1
SYN-0065,2021-03-10 08:49:28.245125352,Laboral,Visto bueno,6161.0,Actor,Primera,Quito Sur,Persona jurídica,0.0,0.0,1
SYN-0066,2021-03-16 22:27:44.623955432,Civil,Sumario,36773.16,Actor,Primera,Quito Norte,Entidad pública,0.0,0.0,1
SYN-0067,2021-03-23 12:06:01.002785520,Civil,Ordinario,132643.93,Actor,Primera,Rumiñahui,Persona jurídica,0.0,0.0,1
SYN-0068,2021-03-30 01:44:17.381615600,Civil,Sumario,5549.77,Actor,Segunda,Mejía,Persona natural,0.0,0.0,0
SYN-0069,2021-04-05 15:22:33.760445688,Civil,Sumario,7790.53,Actor,Primera,Rumiñahui,Persona natural,1.0,0.0,1
SYN-0070,2021-04-12 05:00:50.139275768,Civil,Ordinario,22778.57,Demandado,Primera,Mejía,Entidad pública,0.0,0.0,0
SYN-0071,2021-04-18 18:39:06.518105856,Civil,Ordinario,,Demandado,Primera,Mejía,Persona natural,0.0,0.0,1
SYN-0072,2021-04-25 08:17:22.896935936,Civil,Ejecutivo,5301.54,Demandado,Primera,Quito Norte,Persona jurídica,1.0,0.0,0
SYN-0073,2021-05-01 21:55:39.275766024,Laboral,Haberes laborales,23090.19,Actor,Primera,Quito Sur,Persona natural,0.0,0.0,0
SYN-0074,2021-05-08 11:33:55.654596104,Civil,Monitorio,111237.84,Actor,Segunda,Quito Sur,Persona natural,1.0,0.0,1
SYN-0075,2021-05-15 01:12:12.033426192,Civil,Ejecutivo,3450.82,Demandado,Primera,Mejía,Entidad pública,0.0,1.0,1
SYN-0076,2021-05-21 14:50:28.412256272,Civil,Ejecutivo,4999.32,Actor,Primera,Quito Norte,Persona jurídica,0.0,1.0,0
SYN-0077,2021-05-28 04:28:44.791086352,Civil,Monitorio,11784.26,Actor,Primera,Quito Sur,Entidad pública,0.0,,1
SYN-0078,2021-06-03 18:07:01.169916440,Laboral,Visto bueno,10695.07,Actor,Primera,Rumiñahui,Persona natural,0.0,1.0,1
SYN-0079,2021-06-10 07:45:17.548746520,Civil,Ejecutivo,40567.73,Demandado,Primera,Quito Norte,Persona jurídica,,0.0,0
SYN-0080,2021-06-16 21:23:33.927576608,Laboral,Visto bueno,22920.49,Demandado,Primera,Rumiñahui,Persona jurídica,1.0,1.0,1
SYN-0081,2021-06-23 11:01:50.306406688,Laboral,Despido intempestivo,3050.82,Demandado,Primera,Quito Sur,Persona natural,0.0,0.0,0
SYN-0082,2021-06-30 00:40:06.685236776,Civil,Ejecutivo,30137.86,Demandado,Primera,Mejía,Persona natural,0.0,1.0,1
SYN-0083,2021-07-06 14:18:23.064066856,Laboral,Visto bueno,10103.0,Actor,Primera,Rumiñahui,Persona jurídica,0.0,1.0,1
SYN-0084,2021-07-13 03:56:39.442896944,Civil,Monitorio,64381.03,Demandado,Segunda,Quito Norte,Persona natural,0.0,1.0,1
SYN-0085,2021-07-19 17:34:55.821727024,Civil,Sumario,9609.81,Actor,Primera,Rumiñahui,Persona jurídica,1.0,0.0,1
SYN-0086,2021-07-26 07:13:12.200557112,Civil,Monitorio,9523.44,Demandado,Primera,Quito Norte,Entidad pública,0.0,0.0,0
SYN-0087,2021-08-01 20:51:28.579387192,Laboral,Visto bueno,30923.1,Actor,Primera,Quito Sur,Persona natural,0.0,0.0,1
SYN-0088,2021-08-08 10:29:44.958217272,Civil,Ordinario,38601.77,Demandado,Primera,Quito Sur,Persona natural,0.0,1.0,0
SYN-0089,2021-08-15 00:08:01.337047360,Civil,Ejecutivo,28176.02,Actor,Primera,Rumiñahui,Persona natural,1.0,1.0,1
SYN-0090,2021-08-21 13:46:17.715877440,Civil,Monitorio,3336.01,Actor,Primera,Quito Norte,Persona natural,1.0,1.0,1
SYN-0091,2021-08-28 03:24:34.094707528,Civil,Ordinario,30827.47,Actor,Primera,Quito Norte,Persona natural,0.0,0.0,0
SYN-0092,2021-09-03 17:02:50.473537608,Laboral,Haberes laborales,,Actor,Primera,Rumiñahui,Persona jurídica,0.0,,1
SYN-0093,2021-09-10 06:41:06.852367696,Civil,Sumario,,Actor,Primera,Quito Sur,Persona natural,0.0,0.0,1
SYN-0094,2021-09-16 20:19:23.231197776,Civil,Ejecutivo,,Demandado,Primera,Quito Sur,Persona jurídica,,0.0,0
SYN-0095,2021-09-23 09:57:39.610027864,Civil,Monitorio,28125.99,Actor,Primera,Quito Norte,Persona natural,0.0,0.0,1
SYN-0096,2021-09-29 23:35:55.988857944,Laboral,Haberes laborales,,Demandado,Primera,Quito Norte,Persona natural,0.0,0.0,0
SYN-0097,2021-10-06 13:14:12.367688032,Civil,Ordinario,4991.5,Actor,Primera,,Persona natural,0.0,1.0,1
SYN-0098,2021-10-13 02:52:28.746518112,Civil,Ordinario,36751.97,Demandado,Primera,Quito Norte,Persona jurídica,0.0,0.0,0
SYN-0099,2021-10-19 16:30:45.125348192,Civil,Sumario,22920.15,Actor,Primera,Quito Sur,Persona jurídica,0.0,,1
SYN-0100,2021-10-26 06:09:01.504178280,Laboral,Haberes laborales,9741.5,Demandado,Primera,Mejía,,0.0,0.0,0
SYN-0101,2021-11-01 19:47:17.883008360,Laboral,Despido intempestivo,76826.57,Actor,Segunda,Quito Norte,Persona jurídica,0.0,1.0,1
SYN-0102,2021-11-08 09:25:34.261838448,Laboral,Visto bueno,11585.09,Actor,Primera,,Persona jurídica,0.0,1.0,1
SYN-0103,2021-11-14 23:03:50.640668528,Civil,Ordinario,18587.32,Demandado,Primera,Quito Norte,Persona natural,1.0,0.0,1
SYN-0104,2021-11-21 12:42:07.019498616,Laboral,Visto bueno,23553.75,Actor,Segunda,Rumiñahui,Entidad pública,0.0,0.0,1
SYN-0105,2021-11-28 02:20:23.398328696,Laboral,Visto bueno,9686.24,Actor,Primera,Rumiñahui,Persona natural,0.0,0.0,0
SYN-0106,2021-12-04 15:58:39.777158784,Laboral,Despido intempestivo,28832.64,Demandado,Primera,Rumiñahui,Persona natural,0.0,0.0,1
SYN-0107,2021-12-11 05:36:56.155988864,Civil,Sumario,10558.38,Demandado,Segunda,Quito Norte,Persona jurídica,0.0,0.0,0
SYN-0108,2021-12-17 19:15:12.534818944,Civil,Monitorio,,Actor,Primera,Quito Sur,Persona natural,0.0,0.0,0
SYN-0109,2021-12-24 08:53:28.913649032,Civil,Monitorio,70317.06,Actor,Primera,Rumiñahui,Persona natural,0.0,1.0,1
SYN-0110,2021-12-30 22:31:45.292479112,Laboral,Despido intempestivo,6358.46,Demandado,Primera,Quito Norte,Persona jurídica,1.0,0.0,1
SYN-0111,2022-01-06 12:10:01.671309200,Civil,Ordinario,1612.19,Demandado,Primera,Quito Norte,Persona natural,0.0,1.0,0
SYN-0112,2022-01-13 01:48:18.050139280,Civil,Ordinario,90135.02,Demandado,Primera,Quito Norte,Persona jurídica,0.0,0.0,1
SYN-0113,2022-01-19 15:26:34.428969368,Civil,Ejecutivo,230372.99,Actor,Segunda,Mejía,Entidad pública,0.0,1.0,0
SYN-0114,2022-01-26 05:04:50.807799448,Civil,Ordinario,12002.35,Demandado,Segunda,Rumiñahui,Persona jurídica,0.0,1.0,0
SYN-0115,2022-02-01 18:43:07.186629536,Civil,Monitorio,2594.86,Actor,Primera,Quito Sur,Persona jurídica,1.0,,1
SYN-0116,2022-02-08 08:21:23.565459616,Laboral,Haberes laborales,13195.66,Demandado,Primera,Rumiñahui,Persona jurídica,1.0,0.0,1
SYN-0117,2022-02-14 21:59:39.944289704,Laboral,Haberes laborales,13519.71,Actor,Primera,Quito Sur,Entidad pública,0.0,0.0,1
SYN-0118,2022-02-21 11:37:56.323119784,Laboral,Despido intempestivo,14886.4,Demandado,Segunda,,Persona natural,0.0,1.0,1
SYN-0119,2022-02-28 01:16:12.701949864,Civil,Ordinario,5912.0,Actor,Primera,Quito Sur,Persona natural,0.0,1.0,1
SYN-0120,2022-03-06 14:54:29.080779952,Laboral,Haberes laborales,32134.59,Actor,Segunda,Quito Sur,Persona jurídica,0.0,,0
SYN-0121,2022-03-13 04:32:45.459610032,Civil,Ejecutivo,30413.27,Demandado,Primera,Quito Norte,Persona jurídica,1.0,0.0,0
SYN-0122,2022-03-19 18:11:01.838440120,Laboral,Visto bueno,4038.87,Actor,Primera,Rumiñahui,Persona natural,0.0,0.0,1
SYN-0123,2022-03-26 07:49:18.217270200,Civil,Monitorio,36218.44,Demandado,Primera,Rumiñahui,Persona jurídica,0.0,1.0,0
SYN-0124,2022-04-01 21:27:34.596100288,Civil,Ordinario,140198.14,Actor,Primera,Quito Norte,Persona natural,0.0,1.0,1
SYN-0125,2022-04-08 11:05:50.974930368,Civil,Ordinario,21377.35,Demandado,Primera,Quito Sur,Entidad pública,0.0,0.0,0
SYN-0126,2022-04-15 00:44:07.353760456,Civil,Ordinario,12846.18,Actor,Primera,Quito Norte,,0.0,0.0,0
SYN-0127,2022-04-21 14:22:23.732590536,Civil,Ordinario,15617.13,Actor,Segunda,Mejía,Persona natural,0.0,0.0,1
SYN-0128,2022-04-28 04:00:40.111420624,Civil,Ordinario,33302.37,Actor,Primera,Mejía,Persona natural,0.0,0.0,0
SYN-0129,2022-05-04 17:38:56.490250704,Civil,Monitorio,3188.98,Actor,Primera,Mejía,Persona natural,1.0,0.0,1
SYN-0130,2022-05-11 07:17:12.869080784,Civil,Sumario,21216.15,Actor,Primera,,Persona natural,0.0,1.0,1
SYN-0131,2022-05-17 20:55:29.247910864,Civil,Monitorio,12181.37,Demandado,Primera,Quito Norte,Persona natural,0.0,0.0,0
SYN-0132,2022-05-24 10:33:45.626740960,Laboral,Haberes laborales,114228.04,Demandado,Segunda,Quito Norte,Persona natural,0.0,0.0,0
SYN-0133,2022-05-31 00:12:02.005571040,Civil,Monitorio,15122.73,Demandado,Primera,Quito Norte,Persona natural,0.0,0.0,0
SYN-0134,2022-06-06 13:50:18.384401120,Civil,Ordinario,95417.25,Actor,Primera,Quito Norte,Persona natural,1.0,0.0,1
SYN-0135,2022-06-13 03:28:34.763231200,Civil,Ejecutivo,5969.31,Actor,Primera,Quito Norte,Persona natural,,0.0,0
SYN-0136,2022-06-19 17:06:51.142061296,Civil,Monitorio,32382.91,Actor,Segunda,Mejía,Persona natural,1.0,0.0,0
SYN-0137,2022-06-26 06:45:07.520891376,Laboral,Despido intempestivo,24773.44,Demandado,Primera,Quito Norte,Persona natural,1.0,0.0,1
SYN-0138,2022-07-02 20:23:23.899721456,Civil,Ordinario,7548.32,Demandado,Primera,Quito Norte,Persona natural,,1.0,0
SYN-0139,2022-07-09 10:01:40.278551536,Laboral,Haberes laborales,21493.87,Actor,Primera,Rumiñahui,Persona natural,0.0,0.0,1
SYN-0140,2022-07-15 23:39:56.657381616,Civil,Monitorio,,Demandado,Primera,Quito Sur,Persona natural,1.0,0.0,1
SYN-0141,2022-07-22 13:18:13.036211712,Civil,Monitorio,13021.22,Actor,Segunda,Rumiñahui,Persona jurídica,0.0,0.0,1
SYN-0142,2022-07-29 02:56:29.415041792,Civil,Monitorio,3314.84,Actor,Primera,Quito Sur,Entidad pública,0.0,1.0,0
SYN-0143,2022-08-04 16:34:45.793871872,Laboral,Despido intempestivo,17686.63,Actor,Segunda,Rumiñahui,Entidad pública,1.0,0.0,0
SYN-0144,2022-08-11 06:13:02.172701952,Civil,Monitorio,7300.54,Actor,Primera,Quito Sur,Persona jurídica,1.0,1.0,1
SYN-0145,2022-08-17 19:51:18.551532048,Civil,Monitorio,12781.91,Demandado,Primera,Quito Sur,Persona jurídica,0.0,1.0,0
SYN-0146,2022-08-24 09:29:34.930362128,Civil,Sumario,16589.73,Demandado,Primera,Rumiñahui,Persona natural,0.0,1.0,0
SYN-0147,2022-08-30 23:07:51.309192208,Civil,Monitorio,3269.77,Actor,Primera,Quito Sur,Persona jurídica,0.0,0.0,1
SYN-0148,2022-09-06 12:46:07.688022288,Civil,Monitorio,3577.68,Actor,Segunda,Quito Norte,Persona jurídica,1.0,1.0,0
SYN-0149,2022-09-13 02:24:24.066852384,Civil,Ejecutivo,29149.52,Demandado,Segunda,Quito Sur,Persona jurídica,0.0,0.0,0
SYN-0150,2022-09-19 16:02:40.445682464,Civil,Ordinario,10672.32,Demandado,Primera,Quito Norte,Persona jurídica,0.0,0.0,0
SYN-0151,2022-09-26 05:40:56.824512544,Laboral,Visto bueno,1384.9,Actor,Primera,Rumiñahui,Persona natural,0.0,0.0,0
SYN-0152,2022-10-02 19:19:13.203342624,Laboral,Despido intempestivo,39457.17,Actor,Primera,Quito Norte,Persona jurídica,1.0,0.0,1
SYN-0153,2022-10-09 08:57:29.582172704,Civil,Ordinario,23635.3,Demandado,Primera,Quito Norte,,1.0,0.0,1
SYN-0154,2022-10-15 22:35:45.961002800,Civil,Ordinario,8815.37,Actor,Primera,Quito Norte,Persona natural,0.0,0.0,0
SYN-0155,2022-10-22 12:14:02.339832880,Civil,Sumario,4823.7,Demandado,Primera,Rumiñahui,Entidad pública,0.0,0.0,0
SYN-0156,2022-10-29 01:52:18.718662960,Laboral,Visto bueno,41520.18,Actor,Primera,Quito Norte,Persona natural,1.0,0.0,1
SYN-0157,2022-11-04 15:30:35.097493040,Civil,Sumario,25526.63,Demandado,Primera,Quito Sur,Entidad pública,,0.0,0
SYN-0158,2022-11-11 05:08:51.476323136,Laboral,Haberes laborales,194995.02,Actor,Primera,Rumiñahui,Persona jurídica,,1.0,0
SYN-0159,2022-11-17 18:47:07.855153216,Laboral,Visto bueno,27400.48,Actor,Primera,Quito Norte,Persona natural,0.0,0.0,0
SYN-0160,2022-11-24 08:25:24.233983296,Laboral,Visto bueno,,Demandado,Segunda,Rumiñahui,Persona jurídica,0.0,0.0,1
SYN-0161,2022-11-30 22:03:40.612813376,Civil,Ordinario,15232.69,Actor,Primera,Quito Norte,Persona natural,0.0,0.0,1
SYN-0162,2022-12-07 11:41:56.991643456,Laboral,Haberes laborales,40737.44,Actor,Primera,Quito Norte,Persona jurídica,0.0,0.0,1
SYN-0163,2022-12-14 01:20:13.370473552,Civil,Ejecutivo,33631.29,Demandado,Primera,Quito Sur,Persona jurídica,0.0,0.0,0
SYN-0164,2022-12-20 14:58:29.749303632,Civil,Ordinario,62934.64,Demandado,Primera,Mejía,Persona jurídica,0.0,0.0,0
SYN-0165,2022-12-27 04:36:46.128133712,Civil,Monitorio,10687.22,Actor,Segunda,Quito Norte,Persona jurídica,1.0,0.0,0
SYN-0166,2023-01-02 18:15:02.506963792,Civil,Sumario,11646.02,Actor,Primera,Quito Sur,Persona natural,0.0,0.0,0
SYN-0167,2023-01-09 07:53:18.885793888,Laboral,Despido intempestivo,11148.09,Actor,Primera,Quito Norte,Persona natural,0.0,0.0,0
SYN-0168,2023-01-15 21:31:35.264623968,Laboral,Despido intempestivo,39692.95,Demandado,Segunda,Quito Sur,Persona natural,0.0,0.0,0
SYN-0169,2023-01-22 11:09:51.643454048,Civil,Ordinario,80539.38,Actor,Segunda,Quito Sur,Persona natural,0.0,,0
SYN-0170,2023-01-29 00:48:08.022284128,Laboral,Despido intempestivo,11376.29,Actor,Primera,Quito Sur,Persona natural,0.0,0.0,1
SYN-0171,2023-02-04 14:26:24.401114224,Civil,Ordinario,11770.52,Demandado,Primera,Quito Sur,Persona natural,0.0,0.0,0
SYN-0172,2023-02-11 04:04:40.779944304,Civil,Sumario,24641.92,Demandado,Primera,Quito Norte,Persona natural,0.0,0.0,0
SYN-0173,2023-02-17 17:42:57.158774384,Civil,Sumario,14077.96,Demandado,Primera,Quito Sur,Persona natural,0.0,0.0,0
SYN-0174,2023-02-24 07:21:13.537604464,Laboral,Haberes laborales,46638.45,Demandado,Primera,Quito Sur,Persona jurídica,1.0,0.0,1
SYN-0175,2023-03-02 20:59:29.916434544,Civil,Sumario,1893.82,Demandado,Primera,Quito Sur,Persona natural,0.0,0.0,0
SYN-0176,2023-03-09 10:37:46.295264640,Civil,Sumario,,Demandado,Segunda,Quito Norte,Persona jurídica,1.0,0.0,0
SYN-0177,2023-03-16 00:16:02.674094720,Civil,Sumario,8231.39,Demandado,Primera,Quito Sur,Persona natural,1.0,1.0,0
SYN-0178,2023-03-22 13:54:19.052924800,Laboral,Despido intempestivo,1768.29,Actor,Primera,Quito Sur,Persona natural,1.0,0.0,0
SYN-0179,2023-03-29 03:32:35.431754880,Laboral,Despido intempestivo,6867.04,Actor,Primera,Quito Norte,Persona jurídica,0.0,0.0,1
SYN-0180,2023-04-04 17:10:51.810584976,Laboral,Visto bueno,7208.17,Actor,Primera,Quito Norte,Persona natural,0.0,0.0,1
SYN-0181,2023-04-11 06:49:08.189415056,Laboral,Despido intempestivo,14720.88,Demandado,Primera,Quito Sur,Persona natural,0.0,1.0,1
SYN-0182,2023-04-17 20:27:24.568245136,Laboral,Despido intempestivo,54780.68,Actor,Primera,Rumiñahui,Persona jurídica,0.0,0.0,0
SYN-0183,2023-04-24 10:05:40.947075216,Civil,Ordinario,14087.83,Actor,Segunda,Quito Norte,,0.0,0.0,0
SYN-0184,2023-04-30 23:43:57.325905296,Civil,Monitorio,6420.9,Actor,Primera,Rumiñahui,Persona natural,1.0,1.0,1
SYN-0185,2023-05-07 13:22:13.704735392,Laboral,Visto bueno,17003.47,Actor,Primera,Quito Sur,Persona jurídica,0.0,0.0,1
SYN-0186,2023-05-14 03:00:30.083565472,Laboral,Haberes laborales,51395.23,Actor,Primera,Rumiñahui,Persona natural,1.0,1.0,1
SYN-0187,2023-05-20 16:38:46.462395552,Civil,Ejecutivo,6782.96,Demandado,Primera,,Persona jurídica,0.0,0.0,0
SYN-0188,2023-05-27 06:17:02.841225632,Civil,Ordinario,7241.27,Demandado,Segunda,Quito Sur,Persona natural,0.0,0.0,0
SYN-0189,2023-06-02 19:55:19.220055728,Laboral,Visto bueno,31466.41,Actor,Primera,Quito Sur,Entidad pública,0.0,0.0,0
SYN-0190,2023-06-09 09:33:35.598885808,Civil,Ordinario,14423.17,Actor,Primera,Mejía,Persona jurídica,0.0,0.0,1
SYN-0191,2023-06-15 23:11:51.977715888,Laboral,Haberes laborales,34393.12,Actor,Primera,Quito Sur,Entidad pública,0.0,1.0,1
SYN-0192,2023-06-22 12:50:08.356545968,Civil,Ordinario,17756.03,Demandado,Primera,,Persona jurídica,0.0,0.0,0
